IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,13158,4387,4294967290
4294967084,4294967084,4294967084,4422,3296,7669
4294967084,4294967084,4294967084,4294961827,4294964013,4294964013
4294967084,4294967084,4294967084,6574,2184,5462
4294967084,4294967084,4294967084,4294965102,4294965105,4294965103
4294967084,4294967084,4294967084,5477,4294967281,3272
4294967084,4294967084,4294967084,4294966243,4294962925,4294965103
4294967084,4294967084,4294967084,4294966198,4294961813,4294967294
4294967084,4294967084,4294967084,4407,1110,4391
4294967084,4294967084,4294967084,4294966202,4294965104,8766
4294967084,4294967084,4294967084,6577,4294967295,7669
4294967084,4294967084,4294967084,4294966199,4294964021,4294959633
4294967109,4294967084,4294967084,4294966165,4294967255,4294967267
4294967084,4294967084,4294967084,4294965102,4294965104,4294965104
4294966998,4294967084,4294967084,6578,4388,6567
4294967084,4294967084,4294967084,4294960714,4294962904,4294961803
4294967084,4294967084,4294967084,5472,2185,2194
4294967084,4294967084,4294967084,4403,7,3307
4294967000,4294967084,4294967084,4294965104,4294967295,4294966200
4294967084,4294967084,4294967084,8781,7669,4294967295
4294967084,4294967084,4294967084,6568,5467,7667
4294967084,4294967084,4294967084,6470,2151,5406
4294967084,4294967084,4294967084,6593,3295,4379
4294967084,4294967084,4294967084,6573,4294965104,5469
4294967084,4294967084,4294967084,4294961853,4294964017,4294966210
4294967084,4294967084,4294967084,4294966195,4294964033,4294964060
4294967084,4294967084,4294967084,4294965166,4294964081,4294962985
4294967084,4294967084,4294967084,4294965166,4294964081,4294962985
4294967084,4294967084,4294967084,4294965166,4294964081,4294962985
4294967084,4294967084,4294967084,4294965166,4294964081,4294962985
4294967084,4294967084,4294967084,4294965166,4294964081,4294962985
